合约,交易日,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交金额,结算价,前结算价,品种
IF2402,2020-01-07,3787.98,3831.95,3775.77,3787.49,2404,191802,9086453.13,3778.88,3722.43,IF
IF2403,2020-01-07,3932.15,3943.4,3884.58,3916.39,8870,113470,34987653.8,3928.42,3959.33,IF
IH2401,2020-01-07,4733.1,4775.94,4691.17,4721.49,4465,185812,21840612.99,4723.39,4814.99,IH
IC2401,2020-01-08,2997.2,3034.13,2967.11,3017.77,2509,191593,7883865.9,3025.9,2978.55,IC
IC2402,2020-01-08,3896.87,3899.63,3862.57,3896.82,8799,69031,34864420.75,3915.95,3874.37,IC
IF2401,2020-01-08,3460.65,3518.12,3442.25,3483.06,5847,154847,19486753.86,3483.94,3522.69,IF
IF2402,2020-01-08,3668.44,3701.83,3649.79,3690.49,8704,170446,33289289.28,3688.65,3622.39,IF
IF2403,2020-01-08,4021.51,4042.38,3936.08,4019.12,8828,59517,34948241.66,4005.29,3928.42,IF
IH2401,2020-01-08,4660.61,4703.64,4632.64,4680.22,4924,88387,22933125.49,4678.02,4657.83,IH
IC2401,2020-01-09,2981.01,3041.8,2953.81,2998.32,1637,146660,5114377.9,3006.3,2947.77,IC
IC2402,2020-01-09,3830.33,3857.91,3781.29,3805.06,7455,92882,29676298.45,3820.85,3880.95,IC
IF2401,2020-01-09,3384.39,3418.81,3321.6,3393.52,2039,52417,7255392.14,3398.62,3406.71,IF
IF2402,2020-01-09,3775.14,3802.7,3763.23,3785.13,1724,100119,6581061.42,3786.52,3746.69,IF
IF2403,2020-01-09,3915.01,3936.57,3866.83,3931.28,5104,84255,19929304.34,3944.65,3948.81,IF
IH2401,2020-01-09,4875.54,4907.21,4728.04,4816.86,4612,110384,21575884.34,4798.92,4731.29,IH
IC2401,2020-01-10,3048.25,3059.92,3044.87,3053.11,3107,75046,9347910.02,3056.9,3047.51,IC
IC2402,2020-01-10,3723.06,3729.94,3717.3,3719.85,5501,142644,20619747.32,3727.23,3741.58,IC
IF2401,2020-01-10,3395.06,3425.4,3386.8,3420.61,9566,134557,34335837.63,3434.01,3443.7,IF
IF2402,2020-01-10,3840.16,3853.61,3813.04,3827.39,3051,188709,11462802.18,3822.87,3778.55,IF
IF2403,2020-01-10,4046.13,4058.28,4027.64,4033.24,8804,185121,34677841.55,4024.49,4069.57,IF
IH2401,2020-01-10,4811.22,4811.26,4789.51,4806.87,9378,124590,45317242.75,4801.64,4851.02,IH
IC2401,2020-01-13,3042.32,3097.11,2987.55,3074.66,2072,175710,6583690.17,3077.32,3065.51,IC
IC2402,2020-01-13,3639.35,3679.93,3580.61,3621.1,4271,155378,14779908.67,3604.98,3656.21,IC
IF2401,2020-01-13,3407.49,3468.49,3374.07,3396.78,6025,71016,20217296.05,3386.25,3341.04,IF
IF2402,2020-01-13,3881.09,3904.91,3803.38,3852.37,8409,116773,32325567.17,3836.98,3839.63,IF
IF2403,2020-01-13,3919.05,3944.82,3882.22,3924.47,5476,176340,21895098.71,3929.28,3876.39,IF
IH2401,2020-01-13,4849.23,4891.68,4768.3,4831.42,7170,170069,35219878.02,4814.62,4817.78,IH
IC2401,2020-01-14,3105.85,3123.17,3037.74,3092.44,6015,125446,18396908.59,3087.58,3135.69,IC
IC2402,2020-01-14,3728.52,3793.88,3721.36,3738.47,8111,52774,31231910.58,3748.16,3752.44,IC
IF2401,2020-01-14,3544.55,3561.36,3489.88,3513.9,9614,141675,32237573.72,3509.38,3482.85,IF
IF2402,2020-01-14,3829.6,3921.4,3820.15,3857.21,9481,91138,36010716.65,3849.62,3891.72,IF
IF2403,2020-01-14,3956.78,3982.36,3933.28,3945.94,5938,199306,23347039.0,3964.16,4015.9,IF
IH2401,2020-01-14,4849.31,4887.27,4744.04,4855.87,3253,97717,16033786.45,4834.24,4894.12,IH
IC2401,2020-01-15,3163.2,3184.66,3124.53,3171.88,9712,165164,31771203.61,3160.43,3182.74,IC
IC2402,2020-01-15,3779.2,3795.39,3768.33,3790.56,3531,94292,13344430.55,3778.33,3802.79,IC
IF2401,2020-01-15,3597.41,3603.78,3566.27,3583.08,5566,179479,19269691.28,3595.96,3526.4,IF
IF2402,2020-01-15,3826.09,3860.13,3820.09,3825.97,8622,154305,34005297.94,3807.49,3843.48,IF
IF2403,2020-01-15,3900.97,3918.86,3872.3,3878.46,3208,79570,11871885.57,3878.8,3903.29,IF
IH2401,2020-01-15,4889.05,4912.82,4815.26,4891.79,7980,70195,39795278.09,4910.18,4918.21,IH
IC2401,2020-01-16,3147.92,3178.63,3129.24,3138.17,2333,74409,7240738.47,3137.93,3156.32,IC
IC2402,2020-01-16,3749.08,3755.37,3687.88,3724.86,6089,164475,21950235.37,3722.3,3745.29,IC
IF2401,2020-01-16,3581.18,3602.37,3563.61,3596.3,1132,148599,3900481.67,3590.2,3568.17,IF
IF2402,2020-01-16,3789.98,3796.86,3787.55,3789.41,8416,94960,33096945.55,3791.56,3719.68,IF
IF2403,2020-01-16,3812.08,3837.34,3774.46,3795.15,8912,194287,34505395.1,3808.21,3744.85,IF
IH2401,2020-01-16,4923.61,4985.09,4885.54,4909.42,7635,180962,38129036.78,4887.31,4896.28,IH
IC2401,2020-01-17,3015.43,3075.08,3002.39,3033.92,4633,81631,14424499.1,3027.39,2980.56,IC
IC2402,2020-01-17,3786.42,3836.54,3718.1,3774.34,2849,67612,10842992.6,3756.76,3819.21,IC
IF2401,2020-01-17,3584.15,3608.93,3534.26,3591.56,3774,163288,14199012.21,3585.93,3591.16,IF
IF2402,2020-01-17,3769.65,3792.27,3752.52,3776.97,1895,193124,6813657.01,3769.73,3789.14,IF
IF2403,2020-01-17,3925.6,3960.51,3924.42,3929.37,3036,156906,11610254.43,3915.48,3928.54,IF
IH2401,2020-01-17,4901.75,4930.22,4836.61,4920.41,7314,195621,35148749.42,4925.29,4987.3,IH
IC2401,2020-01-20,3132.89,3147.54,3131.54,3138.18,5991,59687,19729447.55,3139.58,3096.68,IC
IC2402,2020-01-20,3789.97,3843.26,3773.26,3799.17,2534,136762,9966763.86,3792.87,3780.52,IC
IF2401,2020-01-20,3682.41,3689.9,3595.35,3666.62,8564,131729,32414306.19,3683.42,3684.39,IF
IF2402,2020-01-20,3751.2,3879.66,3728.03,3791.95,7170,159842,27499994.17,3793.39,3726.85,IF
IF2403,2020-01-20,3972.02,4050.42,3895.04,3924.89,8148,104179,33232468.96,3913.11,3947.84,IF
IH2401,2020-01-20,5200.14,5228.12,5159.75,5181.15,9822,151736,52030698.06,5203.25,5111.03,IH
IC2401,2020-01-21,3158.46,3167.32,3127.94,3140.31,5587,149427,18196213.4,3137.92,3104.7,IC
IC2402,2020-01-21,3717.33,3755.89,3694.08,3745.62,1918,127242,7255706.84,3762.58,3715.06,IC
IF2401,2020-01-21,3813.6,3837.89,3767.93,3794.15,2007,145445,7740370.11,3780.85,3759.52,IF
IF2402,2020-01-21,3799.78,3801.36,3744.83,3784.12,1971,58467,7656500.6,3783.0,3827.41,IF
IF2403,2020-01-21,4015.51,4045.57,3952.9,3988.92,2676,170253,10577072.83,3979.34,3993.32,IF
IH2401,2020-01-21,5185.36,5212.88,5132.04,5176.91,4371,80088,21683270.66,5197.23,5280.22,IH
IC2401,2020-01-22,3206.93,3222.14,3145.25,3169.31,2112,114527,6368668.94,3162.41,3197.24,IC
IC2402,2020-01-22,3684.65,3701.29,3605.78,3693.44,6505,92964,24373436.04,3709.8,3751.0,IC
IF2401,2020-01-22,3742.68,3752.11,3705.78,3734.92,3610,64963,13374174.67,3731.03,3777.49,IF
IF2402,2020-01-22,3664.79,3720.07,3655.91,3694.19,8015,181509,29019890.87,3702.4,3639.61,IF
IF2403,2020-01-22,4010.7,4072.04,3933.72,3957.44,5547,166366,22887515.95,3940.88,3862.86,IF
IH2401,2020-01-22,5325.88,5337.45,5279.73,5301.2,9502,189014,50734253.77,5305.43,5245.92,IH
IC2401,2020-01-23,3112.06,3136.4,3071.47,3090.97,8943,191535,27094856.38,3075.62,3112.0,IC
IC2402,2020-01-23,3675.41,3708.03,3614.02,3681.66,6632,90389,24506542.78,3664.26,3643.08,IC
IF2401,2020-01-23,3679.03,3769.93,3644.47,3687.9,8620,199147,31968181.47,3678.43,3616.03,IF
IF2402,2020-01-23,3743.08,3768.28,3727.36,3750.11,7237,53585,26245800.34,3751.73,3696.32,IF
IF2403,2020-01-23,3961.31,3988.51,3930.87,3979.86,4622,61187,17650852.46,3997.68,3977.69,IF
IH2401,2020-01-23,5455.15,5525.74,5432.35,5438.29,9596,157746,52022358.11,5447.43,5465.25,IH
IC2401,2020-01-24,3041.72,3089.53,3031.33,3058.51,3492,86634,10161903.35,3062.85,3025.79,IC
IC2402,2020-01-24,3610.16,3671.09,3608.8,3653.49,2238,115183,7853165.93,3649.91,3604.53,IC
IF2401,2020-01-24,3644.41,3648.8,3583.2,3647.71,7957,109590,29157458.15,3641.66,3640.57,IF
IF2402,2020-01-24,3826.84,3873.29,3818.38,3837.56,7789,136172,28808527.35,3839.23,3800.42,IF
IF2403,2020-01-24,3913.98,3947.62,3889.09,3929.81,1291,149738,5205062.39,3934.34,3871.01,IF
IH2401,2020-01-24,5424.85,5474.17,5396.47,5451.27,3108,103783,17258771.4,5439.09,5441.9,IH
IC2401,2020-01-27,3033.16,3044.19,3013.58,3031.12,3856,161351,11791022.93,3043.0,3069.96,IC
IC2402,2020-01-27,3594.82,3599.0,3542.55,3585.06,4853,60843,16705598.85,3570.91,3504.1,IC
IF2401,2020-01-27,3627.96,3680.84,3588.75,3638.41,3308,196266,12609189.95,3623.32,3639.96,IF
IF2402,2020-01-27,3933.64,3987.09,3906.42,3939.59,7899,123111,30155794.95,3953.18,3998.71,IF
IF2403,2020-01-27,3895.63,3904.26,3850.09,3902.93,3992,164645,15950101.8,3891.54,3906.93,IF
IH2401,2020-01-27,5478.82,5531.44,5452.01,5470.59,9396,96125,52954236.23,5444.89,5438.57,IH
IC2401,2020-01-28,3114.54,3130.82,3066.45,3109.2,6702,139077,21757749.7,3110.61,3072.34,IC
IC2402,2020-01-28,3596.57,3606.61,3573.39,3589.69,1900,99899,6596037.85,3596.84,3531.75,IC
IF2401,2020-01-28,3721.1,3775.81,3707.45,3731.1,1341,150929,5242805.07,3715.57,3701.69,IF
IF2402,2020-01-28,3852.87,3896.23,3780.52,3893.64,3491,140864,13957004.94,3910.14,3968.14,IF
IF2403,2020-01-28,3817.94,3822.75,3801.15,3810.56,1733,119791,6763362.75,3826.02,3902.02,IF
IH2401,2020-01-28,5423.69,5466.69,5370.55,5464.95,2512,109646,13813486.15,5443.48,5536.52,IH
IC2401,2020-01-29,3132.8,3162.48,3120.51,3148.73,9717,158899,29429033.8,3139.63,3188.74,IC
IC2402,2020-01-29,3729.5,3780.82,3645.24,3750.35,5520,179346,21361399.31,3742.77,3723.94,IC
IF2401,2020-01-29,3806.13,3842.02,3717.3,3810.1,6340,51731,25252175.68,3814.46,3756.18,IF
IF2402,2020-01-29,3872.36,3926.3,3849.67,3859.47,6778,152498,25164444.61,3840.46,3769.98,IF
IF2403,2020-01-29,3880.58,3919.6,3810.54,3855.77,4629,120660,17677229.87,3859.73,3851.0,IF
IH2401,2020-01-29,5440.83,5474.58,5378.37,5469.17,1573,181424,8290523.15,5489.79,5555.75,IH
IC2401,2020-01-30,3152.29,3158.44,3142.24,3148.12,8574,50914,25776817.86,3158.75,3111.44,IC
IC2402,2020-01-30,3750.82,3788.72,3717.5,3771.62,2532,56362,9487458.54,3769.72,3731.9,IC
IF2401,2020-01-30,3807.7,3824.94,3806.37,3806.62,6724,74836,25976003.26,3819.53,3781.1,IF
IF2402,2020-01-30,3848.9,3874.94,3831.28,3836.77,2707,70900,10464375.09,3839.58,3897.37,IF
IF2403,2020-01-30,3760.43,3800.72,3725.89,3769.25,9407,180005,36715133.3,3757.43,3782.3,IF
IH2401,2020-01-30,5422.6,5469.88,5380.14,5397.03,7436,190736,40650703.8,5377.25,5459.07,IH
IC2401,2020-01-31,3295.3,3304.71,3267.9,3286.89,5599,195605,18034030.78,3282.55,3235.71,IC
IC2402,2020-01-31,3732.57,3754.38,3714.89,3739.86,3633,165171,13185739.98,3754.24,3742.37,IC
IF2401,2020-01-31,3840.56,3862.31,3805.22,3859.93,3244,109306,12313557.24,3856.25,3851.02,IF
IF2402,2020-01-31,3739.4,3804.94,3715.75,3754.72,2528,148549,9446315.37,3754.01,3699.15,IF
IF2403,2020-01-31,3810.76,3840.23,3739.97,3828.67,4517,158018,17932753.04,3833.6,3819.0,IF
IH2401,2020-01-31,5319.53,5365.57,5310.72,5329.53,1315,53693,6875829.1,5328.26,5386.06,IH
IC2401,2020-02-03,3196.5,3204.52,3191.41,3199.21,8771,199109,27344020.84,3190.64,3225.98,IC
IC2402,2020-02-03,3728.43,3793.15,3643.91,3705.1,1388,59356,5360006.83,3700.57,3659.72,IC
IF2401,2020-02-03,3878.67,3926.33,3837.63,3886.26,9682,170782,38447231.25,3884.14,3909.44,IF
IF2402,2020-02-03,3740.45,3749.71,3718.75,3720.76,3463,114328,13275191.46,3733.3,3703.83,IF
IF2403,2020-02-03,3850.33,3879.59,3817.73,3834.67,9319,98660,35268671.0,3833.75,3829.88,IF
IH2401,2020-02-03,5196.58,5212.16,5128.01,5205.32,5952,147793,29702752.1,5229.9,5309.15,IH
IC2401,2020-02-04,3109.0,3134.68,3100.06,3127.08,8353,197603,26624775.74,3139.35,3085.07,IC
IC2402,2020-02-04,3784.86,3806.99,3755.96,3805.2,3316,187093,12738735.71,3812.24,3840.18,IC
IF2401,2020-02-04,3889.92,3896.47,3821.46,3859.42,9961,153724,38378335.39,3845.15,3902.09,IF
IF2402,2020-02-04,3691.13,3714.19,3679.5,3682.03,9577,147004,34007732.9,3677.78,3607.9,IF
IF2403,2020-02-04,3802.2,3821.4,3743.89,3774.83,3012,151048,11890987.38,3762.73,3795.67,IF
IH2401,2020-02-04,5249.62,5283.63,5193.69,5237.4,2914,83728,15087614.3,5216.36,5151.37,IH
IC2401,2020-02-05,3041.59,3068.69,3018.6,3019.89,4714,85713,14452525.68,3013.8,3014.07,IC
IC2402,2020-02-05,3814.38,3837.55,3787.39,3817.08,6228,167345,23682394.82,3831.44,3895.25,IC
IF2401,2020-02-05,3747.3,3803.93,3719.08,3751.22,8947,150996,34384784.81,3738.03,3774.62,IF
IF2402,2020-02-05,3628.21,3655.15,3594.04,3638.09,1498,55401,5334938.24,3631.6,3612.58,IF
IF2403,2020-02-05,3683.51,3725.59,3641.32,3662.67,8481,178448,32416165.61,3659.04,3715.47,IF
IH2401,2020-02-05,5125.28,5151.47,5089.16,5148.23,5803,191549,28797134.32,5170.23,5170.0,IH
IC2401,2020-02-06,3084.14,3090.17,3041.1,3043.26,5537,139557,16145742.17,3057.57,3100.75,IC
IC2402,2020-02-06,3694.45,3739.4,3666.09,3730.56,9828,98213,37898246.64,3743.76,3799.74,IC
IF2401,2020-02-06,3804.82,3837.84,3751.3,3791.69,1659,120400,6002259.85,3808.79,3784.05,IF
IF2402,2020-02-06,3590.3,3616.44,3574.77,3580.78,7289,172535,25352141.26,3580.08,3638.15,IF
IF2403,2020-02-06,3616.17,3636.22,3588.86,3628.6,9356,58923,35103234.04,3633.67,3641.56,IF
IH2401,2020-02-06,5122.42,5179.43,5089.85,5136.52,2609,177228,13784318.87,5116.92,5067.91,IH
IC2401,2020-02-07,3071.58,3088.91,3039.34,3080.6,4412,81919,13957214.32,3093.45,3146.95,IC
IC2402,2020-02-07,3691.28,3746.99,3689.33,3711.06,2646,105353,9499357.41,3726.33,3760.45,IC
IF2401,2020-02-07,3742.53,3786.65,3738.33,3739.51,7878,154365,28886747.51,3726.32,3727.2,IF
IF2402,2020-02-07,3471.18,3490.83,3442.58,3456.69,8274,193395,27592570.73,3452.34,3383.45,IF
IF2403,2020-02-07,3645.98,3741.96,3607.8,3660.33,9017,169730,32859344.61,3663.15,3629.7,IF
IH2401,2020-02-07,5163.19,5168.45,5141.6,5145.61,6970,144688,37072587.55,5165.79,5167.53,IH
IC2401,2020-02-10,3122.67,3129.3,3091.54,3102.32,8089,73143,25338707.29,3104.73,3122.25,IC
IC2402,2020-02-10,3632.65,3678.09,3585.99,3629.28,6217,67269,21613488.78,3613.53,3652.57,IC
IF2401,2020-02-10,3793.19,3862.4,3774.1,3817.69,3465,158946,13131244.95,3829.22,3869.5,IF
IF2402,2020-02-10,3407.39,3447.22,3360.8,3397.1,1610,78938,5364216.99,3387.8,3390.75,IF
IF2403,2020-02-10,3652.94,3695.26,3649.63,3673.5,2579,187710,9499207.18,3679.79,3628.54,IF
IH2401,2020-02-10,5084.16,5222.4,5072.08,5114.08,7637,112860,40705773.65,5112.18,5026.71,IH
IC2401,2020-02-11,3053.06,3061.93,3043.43,3058.01,8705,121790,25979697.76,3061.79,3021.58,IC
IC2402,2020-02-11,3655.45,3679.73,3619.31,3666.55,3206,56658,11773867.66,3652.02,3698.43,IC
IF2401,2020-02-11,3921.82,3961.96,3868.29,3905.67,2630,70039,10389752.24,3904.15,3894.9,IF
IF2402,2020-02-11,3591.21,3636.46,3527.59,3573.73,9066,146746,31779921.81,3581.64,3586.77,IF
IF2403,2020-02-11,3683.39,3754.97,3648.85,3714.99,2045,177061,7584029.09,3702.56,3759.36,IF
IH2401,2020-02-11,4961.0,5019.77,4957.55,4972.6,6893,86559,33043886.56,4955.96,5000.07,IH
IC2401,2020-02-12,3046.78,3084.0,2997.0,3070.78,1391,179498,4081354.94,3085.93,3060.21,IC
IC2402,2020-02-12,3720.34,3873.01,3679.52,3767.97,1372,89069,5029221.5,3749.43,3682.33,IC
IF2401,2020-02-12,3910.94,3923.69,3895.07,3915.91,5541,96443,21826150.13,3930.18,4003.86,IF
IF2402,2020-02-12,3505.63,3520.37,3461.38,3475.53,3658,75019,13337798.47,3464.39,3485.14,IF
IF2403,2020-02-12,3734.11,3756.09,3694.23,3737.24,1492,100196,5763656.73,3746.44,3818.29,IF
IH2401,2020-02-12,5111.52,5149.39,5104.25,5114.74,6697,157422,33207252.25,5112.61,5053.78,IH
IC2401,2020-02-13,3046.4,3081.36,3023.11,3075.79,3084,149695,9147389.81,3085.12,3085.36,IC
IC2402,2020-02-13,3771.7,3834.25,3725.56,3795.06,2516,96012,9234533.58,3797.54,3778.31,IC
IF2401,2020-02-13,3816.54,3824.89,3776.81,3794.86,4699,73563,18563922.22,3805.4,3834.05,IF
IF2402,2020-02-13,3485.42,3488.74,3434.59,3475.05,8112,110224,28724156.55,3470.75,3462.17,IF
IF2403,2020-02-13,3733.45,3756.65,3711.18,3738.25,5831,123202,21827857.25,3750.0,3721.0,IF
IH2401,2020-02-13,5116.08,5139.59,5076.56,5105.21,7980,167571,41361286.96,5088.3,5027.33,IH
IC2401,2020-02-14,2993.38,3003.12,2982.19,2982.23,6749,99090,19825147.22,2975.76,2929.98,IC
IC2402,2020-02-14,3721.57,3742.49,3689.01,3742.23,4415,154611,16368195.83,3746.83,3802.47,IC
IF2401,2020-02-14,3782.37,3787.76,3702.57,3757.29,5275,192566,18892831.69,3765.82,3798.33,IF
IF2402,2020-02-14,3497.96,3570.73,3480.6,3505.12,8268,77610,28555794.55,3503.41,3484.17,IF
IF2403,2020-02-14,3693.13,3718.08,3678.47,3694.96,8502,79461,31883153.05,3706.18,3670.84,IF
IH2401,2020-02-14,4995.19,5079.97,4959.77,5005.19,2067,85266,10484764.16,5004.78,5003.48,IH
IC2401,2020-02-17,2926.57,2970.32,2924.5,2934.56,6414,170148,19367496.3,2944.11,2989.05,IC
IC2402,2020-02-17,3764.95,3779.64,3699.55,3765.02,9325,185292,34043816.16,3774.2,3712.87,IC
IF2401,2020-02-17,3681.41,3691.82,3640.73,3665.93,6972,134758,25158938.57,3648.85,3693.77,IF
IF2402,2020-02-17,3515.53,3609.68,3460.13,3526.11,2669,80708,9012035.99,3540.81,3539.31,IF
IF2403,2020-02-17,3650.38,3672.15,3644.85,3657.49,9012,134486,32327586.29,3643.08,3614.96,IF
IH2401,2020-02-17,4851.5,4913.9,4844.44,4876.44,5113,187907,23928656.49,4868.59,4910.22,IH
IC2401,2020-02-18,2831.38,2855.7,2807.98,2818.96,1549,109492,4516923.94,2806.29,2762.37,IC
IC2402,2020-02-18,3641.51,3691.84,3621.53,3645.53,7796,178782,27106668.11,3649.03,3605.94,IC
IF2401,2020-02-18,3613.15,3616.88,3545.29,3596.35,9784,133827,36076614.89,3612.48,3544.33,IF
IF2402,2020-02-18,3558.9,3568.5,3511.15,3560.42,5751,107529,20450418.77,3570.91,3602.3,IF
IF2403,2020-02-18,3652.92,3665.81,3588.76,3652.61,8827,143100,30704258.19,3663.47,3607.15,IF
IH2401,2020-02-18,4882.87,4983.95,4758.29,4903.03,7540,58170,36113762.76,4913.71,5003.93,IH
IC2401,2020-02-19,2921.69,2962.76,2908.68,2917.09,7961,94409,23817309.77,2907.41,2942.63,IC
IC2402,2020-02-19,3624.82,3633.18,3580.53,3626.59,4580,130553,17170296.25,3615.93,3592.02,IC
IF2401,2020-02-19,3549.41,3589.9,3504.16,3532.55,6456,56613,22844456.68,3548.68,3498.48,IF
IF2402,2020-02-19,3449.08,3519.21,3400.9,3481.59,6025,106957,21759563.79,3470.63,3420.98,IF
IF2403,2020-02-19,3667.4,3681.5,3605.52,3650.83,4559,179654,16127679.47,3651.26,3656.01,IF
IH2401,2020-02-19,5019.15,5027.2,4956.19,4999.63,6996,74070,34354003.95,4999.66,5006.35,IH
IC2401,2020-02-20,2988.37,3030.36,2933.47,2968.63,3889,89874,11355434.98,2974.7,2943.65,IC
IC2402,2020-02-20,3590.58,3626.21,3556.23,3600.23,8881,155665,30834990.49,3595.99,3664.92,IC
IF2401,2020-02-20,3495.5,3508.04,3416.56,3497.57,6023,67471,21533462.08,3490.88,3458.37,IF
IF2402,2020-02-20,3525.8,3624.37,3483.78,3539.77,9824,61091,36327658.31,3536.15,3571.76,IF
IF2403,2020-02-20,3653.36,3701.74,3608.0,3647.85,3365,175274,11972237.66,3640.25,3644.15,IF
IH2401,2020-02-20,4909.86,5020.57,4871.97,4937.49,6883,76268,34532630.35,4950.03,4882.43,IH
IC2401,2020-02-21,2984.89,3051.53,2977.37,2992.41,8635,85372,25394190.43,2977.54,2962.21,IC
IC2402,2020-02-21,3567.69,3588.75,3529.19,3585.26,6820,69611,24930080.78,3594.28,3555.9,IC
IF2401,2020-02-21,3424.5,3475.87,3371.84,3443.89,5117,101786,17467389.53,3451.36,3426.98,IF
IF2402,2020-02-21,3517.77,3565.92,3504.43,3538.59,7409,51243,25358954.83,3534.54,3487.06,IF
IF2403,2020-02-21,3633.48,3639.57,3608.79,3621.93,7277,181754,26087030.63,3634.28,3612.65,IF
IH2401,2020-02-21,4948.09,5042.45,4945.74,4979.37,6551,142383,31190279.17,4995.49,5057.1,IH
IC2401,2020-02-24,3020.28,3025.61,2980.41,2992.57,5662,82187,17198585.53,3000.36,3059.8,IC
IC2402,2020-02-24,3549.19,3562.44,3519.26,3552.14,9506,168200,32782830.95,3542.06,3535.52,IC
IF2401,2020-02-24,3560.49,3608.94,3492.35,3590.55,8779,103577,30629957.48,3598.3,3568.65,IF
IF2402,2020-02-24,3473.68,3508.88,3451.46,3482.12,8876,53183,30918239.39,3473.21,3425.95,IF
IF2403,2020-02-24,3523.11,3546.34,3478.36,3511.75,8192,53931,28953946.15,3507.66,3518.73,IF
IH2401,2020-02-24,4978.72,5029.95,4840.13,4978.73,3507,59393,16801416.5,4964.2,4909.84,IH
IC2401,2020-02-25,3008.17,3026.7,2996.15,3009.49,7658,94288,23366464.95,3024.22,3028.1,IC
IC2402,2020-02-25,3605.62,3623.46,3588.83,3615.79,6166,186083,22812620.26,3620.41,3609.77,IC
IF2401,2020-02-25,3436.17,3524.87,3402.14,3490.84,7265,64207,25884611.77,3484.12,3526.97,IF
IF2402,2020-02-25,3520.44,3558.92,3495.29,3509.23,4262,90990,15238286.8,3506.94,3478.41,IF
IF2403,2020-02-25,3492.68,3519.37,3452.8,3490.56,5449,126369,19143147.61,3494.37,3552.17,IF
IH2401,2020-02-25,4859.05,4923.46,4835.8,4842.49,5263,189244,25923915.48,4825.63,4893.7,IH
IC2401,2020-02-26,3049.94,3050.1,3025.44,3030.3,5927,128649,18453217.38,3042.97,3074.18,IC
IC2402,2020-02-26,3554.08,3573.7,3503.58,3567.57,2335,180338,8290098.04,3577.89,3617.06,IC
IF2401,2020-02-26,3468.94,3521.06,3415.31,3469.77,4359,118283,14941414.68,3482.6,3474.62,IF
